ID;Название лида;Обращение;Имя;Фамилия;Отчество;Имя, Фамилия;Дата рождения;Адрес;Улица, номер дома;Квартира, офис, комната, этаж;Населенный пункт;Район;Регион;Почтовый индекс;Страна;Рабочий телефон;Мобильный телефон;Номер факса;Домашний телефон;Номер пейджера;Телефон для рассылок;Другой телефон;Корпоративный сайт;Личная страница;Страница Facebook;Страница ВКонтакте;Страница LiveJournal;Микроблог Twitter;Другой сайт;Рабочий e-mail;Частный e-mail;E-mail для рассылок;Другой e-mail;Контакт Facebook;Контакт Telegram;Контакт ВКонтакте;Контакт Skype;Контакт Viber;Комментарии Instagram;Контакт Битрикс24 Network;Онлайн-чат;Контакт Открытая линия;Контакт ICQ;Контакт MSN/Live!;Контакт Jabber;Другой контакт;Связанный пользователь;Название компании;Должность;Комментарий;Стадия;Дополнительно о стадии;Товар;Цена;Количество;Возможная сумма;Валюта;Источник;Дополнительно об источнике;Доступен для всех;Ответственный;roistat;ИНН;Часовой пояс;Конечная цена контракта;Максимальная цена контракта;Регион;Срок поставки;Ссылка;Сумма гарантии;Документация(ссылки);Номер извещения;Источник;Тип;Кампания;Ключевая фраза;GOOGLE_ID;YANDEX_ID;Точка входа;Город;Запись звонка;РК;Содержание РК;Точка отправки формы;категория А;категория В;категория С;Условия поставки - отображаются в спецификации;Форма захвата;Новая строка;Дата извещения;Окончание подачи заявок;Рассмотрение заявок;Проведение аукциона;Площадка;Предмет закупки;Тип закупки;Список оборудования;Оборудование у клиента;Закупка по тендеру;Новое поле - логистам;Причина отказа по лиду;ya_client_id;ga_client_id;UF_CRM_SP_UNSUBSCR;В ЧЕМ ПРИЧИНА СЛИВА?;Instagram;GA_CID;VK_WZ;TelegramUsername_WZ;TelegramId_WZ;Avito_WZ;WhatsApp Group Id;Telegram Group Id;Часовой пояс (для фильтра);Товар;Услуга
11;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СВИНОКОМПЛЕКС""ВОСТОЧНО-СИБИРСКИЙ""";;;;;;;;;;;;;;;7 (3012) 22-24-56, +7 (3822) 90-02-41, +7 (3012) 55-99-42;;;;;;;;;;;;;https://www.rusprofile.ru/id/3497781?utm_source=tender-win.ru;stacenkoif@sagro.ru;;;;;;;;;;;;;;;;;;;;Оплата по договору N 46-100036954 по счету N 1214-030 от 14.12.2022 за пластины, уплотнения, в т.ч. НДС 20%-35300,00;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;306229126    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;"ООО ""МЯСОПЕРЕРАБАТЫВАЮЩАЯ ФАБРИКА ""СЕЛЕНГА"" Р/С 40702810615030001127 Банк ВТБ (ПАО)//БИК044525411";;;;;;;;;;;;;;;"7 (3012) 44-12-12, +7 (3012) 33-42-22, +7 (3012) 33-59-90, 
+7 (902) 160-56-48, +7 (914) 845-14-34, +7 (342) 223-35-99";;;;;;;;;;;;;https://www.rusprofile.ru/id/7390967?utm_source=tender-win.ru;info@megatitan.ru, tanya.efimova@megatitan.ru, torgpredselenga@megatitan.ru;;;;;;;;;;;;;;;;;;;;ОПЛАТА ЗА ПЛАСТИНУ/УПЛОТНЕНИЕ СОГЛАСНО СЧ 992 ОТ 21/09/2022Г.СУММА 37440-00 В ТОМ ЧИСЛЕ НДС 6 240.00;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;326524377    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"ООО ""ЛАЙФХОТ""";;;;;;;;;;;;;;;+7 (988) 693-11-15;;;;;;;;;;;;;https://www.rusprofile.ru/id/10859571?utm_source=tender-win.ru;lifehot05@mail.ru;;;;;;;;;;;;;;;;;;;;Оплата по счету№ 336 от 18.01.2022г за пластины.  В том числе НДС 20 % - 8661.33 рублей.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;516012232    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЗ-ТЕХНОСТРОЙ""";;;;;;;;;;;;;;;7 (87231) 5-12-56, +7 (928) 581-71-81, +7 (928) 978-25-29, +7 (928) 670-11-87, +7 (928) 871-32-63, +7 (928) 504-32-72;;;;;;;;;;;;;https://www.rusprofile.ru/id/1127070?utm_source=tender-win.ru;gts.log@mail.ru;;;;;;;;;;;;;;;;;;;;Оплата за насосы по счету № 8242 от 10.07.2023 г. В том числе НДС 20%, 42163.33 руб.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;534031679    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;"ООО ""ПРОМИНЖЕНЕРИНГ""";;;;;;;;;;;;;;;7 (961) 323-02-58, +7 (87240) 4-53-21, +7 (8722) 52-21-21, +7 (961) 323-02-59, +7 (988) 423-50-50, +7 (963) 421-40-15, +7 (989) 122-85-67, +7 (969) 222-25-95, +7 (87240) 4-95-64, +7 (916) 323-02-58, +7 (964) 014-71-45, +7 (989) 878-04-66;;;;;;;;;;;;;https://www.rusprofile.ru/id/7068469?utm_source=tender-win.ru;gulya1551@mail.ru, aliev@mail.ru, jhhg@mail.ru, mb@prominj.com, nearabskiy@mail.ru;;;;;;;;;;;;;;;;;;;;Оплата по счету N 146120152 от 30.05.2023 Сумма 680000-00 В т.ч. НДС (20%) 113333-34;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;572006063    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;"ООО ""АКВА-СТРОЙ""";;;;;;;;;;;;;;;+7 (928) 277-40-47;;;;;;;;;;;;;https://www.rusprofile.ru/id/10806085?utm_source=tender-win.ru;aquaservice05@mail.ru;;;;;;;;;;;;;;;;;;;;Оплата по счету № 4705 от 19 мая 2022 гВ том числе НДС 20 % - 40942.03 рублей.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;573008306    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;"ООО ""АГРО-КОМ""";;;;;;;;;;;;;;;+7 (8662) 77-39-30;;;;;;;;;;;;;https://www.rusprofile.ru/id/2443624?utm_source=tender-win.ru;fatya88888@mail.ru;;;;;;;;;;;;;;;;;;;;Оплата по счету №13772 от 14.11.2023г.за насос. Сумма 97780-00 В т.ч. НДС  (20%) 16296-67;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;701002574    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;"ООО ""Чегем-тара""";;;;;;;;;;;;;;;7 (86630) 4-21-90, +7 (86630) 4-19-69, +7 (905) 437-71-22;;;;;;;;;;;;;https://www.rusprofile.ru/id/968383?utm_source=tender-win.ru;shegem-tara@mail.ru, chegem-tara@mail.ru, chegempack@mail.ru;;;;;;;;;;;;;;;;;;;;Оплата по  сч №20926//RUB от 12.10.2022г за насос Сумма 125000-00 В т.ч. НДС  (20%) 20833-33;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;708012758    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;"ООО ""Карелиан Вуд Кампани""";;;;;;;;;;;;;;;7 (81459) 9-74-00, +7 (81459) 7-80-22, +7 (81459) 7-80-24, +7 (81459) 9-74-25, +7 (81459) 9-74-33;;;;;;;;;;;;;https://www.rusprofile.ru/id/3188359?utm_source=tender-win.ru;viktoria.koktomova@kareliawoodcompany.com, ekaterina.ermolina@kareliawoodcompany.com;;;;;;;;;;;;;;;;;;;;Оплата по договору  N11109 от 17.10.2022 г. Платежи за вспомогательные материалы и запчасти. Сумма 15086,59 RUB, в т.ч. НДС (20%) 2514,43 RUB.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;1001145586    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;"ГУП РК ""КАРЕЛКОММУНЭНЕРГО""";;;;;;;;;;;;;;;7 (8142) 59-29-39, +7 (911) 417-07-77, +7 (921) 224-78-03, +7 (8142) 76-52-11, +7 (81433) 4-33-33;;;;;;;;;;;;;https://www.rusprofile.ru/id/10259757?utm_source=tender-win.ru;guprkkke@mail.ru, kk@mail.ru, pochtynet@mail.ru;;;;;;;;;;;;;;;;;;;;Оплата по сч. N 194113155 от 20.09.22 г. за уплотнение проточное по дог. N 247-Е-2022 от 20.09.22 г.В т.ч. НДС 20% - 41 512,50 руб.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;1001304003    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;"ООО ""РК ""ВИРМА""";;;;;;;;;;;;;;;+7 (8152) 47-46-07;;;;;;;;;;;;;https://www.rusprofile.ru/id/1515837?utm_source=tender-win.ru;miefimova51@yandex.ru;;;;;;;;;;;;;;;;;;;;Оплата по счету-договору 266116442 от 27.01.2023 за тмц Сумма 501000-00 В т.ч. НДС (20%) 83500-00;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;1011008571    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;"ООО ""Норвуд Коми""";;;;;;;;;;;;;;;7 (8212) 28-62-05, +7 (8212) 28-61-13, +7 (8212) 28-61-14;;;;;;;;;;;;;https://www.rusprofile.ru/id/779202?utm_source=tender-win.ru;a.panyukov@norwoodsm.ru, n.pochtaeva@norwoodsm.ru;;;;;;;;;;;;;;;;;;;;Оплата по счету № 13647 от 13.11.2023 насос циркул, Сумма  250767-50 руб. В т.ч. НДС (20%) 41794-58 руб.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;1101036118    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;"ООО ""ПРИГОРОДНЫЙ"" Р/С 40702810574000000276 АО ""Россельхозбанк""//БИК048702739";;;;;;;;;;;;;;;7 (8212) 22-54-27, +7 (8212) 22-47-45, +7 (8212) 20-19-64;;;;;;;;;;;;;https://www.rusprofile.ru/id/6583213?utm_source=tender-win.ru;oooprigorod@list.ru, info@acceptmed.ru, ooooprigorod@list.ru;;;;;;;;;;;;;;;;;;;;ОПЛАТА ПО СЧЕТ-ДОГОВОРУ № 1276 ОТ 02.02.2023Г ЗА ПЛАСТИНЫ И УПЛОТНЕНИЯСУММА 140500-00 В Т.Ч. НДС (20%) 2 3416-67;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;1101097230    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;"ООО ""АСПЕКТ"" Р/С 40702810928000000702 ПАО Сбербанк//БИК048702640";;;;;;;;;;;;;;;+7 (8212) 24-51-92;;;;;;;;;;;;;https://www.rusprofile.ru/id/7280970?utm_source=tender-win.ru;restoran-v@yandex.ru, restoran11region@gmail.com;;;;;;;;;;;;;;;;;;;;ОПЛ. ПО СЧЕТУ N 1722 ОТ 19.05.2023Г ЗА ПЛАСТИНУ СУММА 50850-00 В Т.Ч. НДС (20%) 8475-00;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;1101149256    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;"АО ""ВОРКУТАУГОЛЬ""";;;;;;;;;;;;;;;7 (82151) 7-39-69, +7 (82151) 7-30-10, +7 (82151) 7-22-42;;;;;;;;;;;;;https://www.rusprofile.ru/id/50206?utm_source=tender-win.ru;oskid@vorkuta.severstalgroup.com, osrid@ovu.vorkuta.com, vms.mail@vorkuta.severstalgroup.com;;;;;;;;;;;;;;;;;;;;Оплата по Дог. N 4600704347 от 31.03.2019 за неустойка сч N 202000012458 от 16.09.2022 НДС не облагается;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;1103019252    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;"ООО ""ТЭК-ПЕЧОРА""";;;;;;;;;;;;;;;7 (82142) 7-25-06, +7 (82142) 7-19-42, +7 (82142) 7-25-97;;;;;;;;;;;;;https://www.rusprofile.ru/id/2051891?utm_source=tender-win.ru;tekpechora@mail.ru, tek_pechora@mail.ru, oootek-pechora@mail.ru;;;;;;;;;;;;;;;;;;;;Предоплата по счету № 3434 от 12.07.2022 за поставку ТМЦ по договору поставки № 233от 12.07.2022 Сумма 96723-00 В т.ч. НДС  (20%) 16120-50;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;1105015581    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;"АО ""КТЭК";;;;;;;;;;;;;;;7 (912) 863-43-64, +7 (82139) 2-25-70, +7 (82139) 2-19-65;;;;;;;;;;;;;https://www.rusprofile.ru/id/2603448?utm_source=tender-win.ru;eva_emva@mail.ru, ao_ktek@mail.ru, emvavoda@mail.ru;;;;;;;;;;;;;;;;;;;;Оплата по счету № 62 от 17.02.2022г.по договору № 1702 от 17.02.2022 . В том числе НДС 20 % - 4933.33 рублей.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;1117005242    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;"ООО ""Марикоммунэнерго""";;;;;;;;;;;;;;;7 (8362) 42-35-65, +7 (8362) 68-49-64;;;;;;;;;;;;;https://www.rusprofile.ru/id/142395?utm_source=tender-win.ru;oks@marike.ru, mke@mari-el.ru, mkegn@mari-el.ru;;;;;;;;;;;;;;;;;;;;Оплата по счету № 18352/RUB от 10.06.2022 г.за пластины. Сумма 46764-00 В т.ч. НДС  (20%) 7794-00;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;1215126037    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;"ООО ""ХАДСОН""";;;;;;;;;;;;;;;+7 (937) 935-30-75;;;;;;;;;;;;;https://www.rusprofile.ru/id/11264023?utm_source=tender-win.ru;glavbuhbk@yandex.ru;;;;;;;;;;;;;;;;;;;;Оплата по счету №7939 от 23.06.2023 года, за ТМЦ. В т.ч. НДС 20% - 22000 руб.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;1215221643    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;"ООО ""СКМ""";;;;;;;;;;;;;;;+7 (927) 882-49-32;;;;;;;;;;;;;https://www.rusprofile.ru/id/1201200002783?utm_source=tender-win.ru;324932@bk.ru;;;;;;;;;;;;;;;;;;;;По счету № 7569 от 04.09.2023 За материалы. В том числе НДС 20 % - 43074.37 рублей.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;1215232620    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;"АО ""Завод ""Копир""";;;;;;;;;;;;;;;7 (83632) 7-11-49, +7 (83632) 7-56-68, +7 (83632) 7-14-49;;;;;;;;;;;;;https://www.rusprofile.ru/id/2067527?utm_source=tender-win.ru;mail@zavod-kopir.ru, oasup@zavod-kopir.ru;;;;;;;;;;;;;;;;;;;;Оплата по счету №19767/RUB от 23.08.2022 за втулку В т.ч. НДС (20%) 4000-00 руб.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;1217000287    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;"МИНФИН РЕСПУБЛИКИ МОРДОВИЯ (ГБСУ СОН РМ ""АРДАТОВСКИЙ ДОМ СОЦИАЛЬНОГО ОБСЛУЖИВАНИЯ"")";;;;;;;;;;;;;;;7 (83431) 2-63-16, +7 (83431) 2-63-18, +7 (8342) 54-69-12;;;;;;;;;;;;;https://www.rusprofile.ru/id/4195801?utm_source=tender-win.ru;SZN.ARDATPNI@e-mordovia.ru, szn.adatpni@e-mordovia.u, 1301060421@eo.tensor.ru;;;;;;;;;;;;;;;;;;;;"(00000000000000000244 л/с 20096Ш07760) 346;ПДД; Предоплата 100% за приобретение реагента для очистки теплового оборудования по сч. 11161 от 12.09.23 г. дог. 878 от 12.09.2023 г., в т.ч. НДС (20%) - 3497-50";Импорт лидов;;;;;;;Клиенты конкурентов;;;;;1301060421    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;"ООО ""Мечта""";;;;;;;;;;;;;;;7 (83437) 2-15-04, +7 (929) 748-28-43;;;;;;;;;;;;;https://www.rusprofile.ru/id/300591?utm_source=tender-win.ru;mechta1@moris.ru, antipovvu.rm@gmail.com, INFO.MECHTA@sferarm.ru;;;;;;;;;;;;;;;;;;;;Оплата по счету N130111538 от 22,07,2022г. за уплотнение проточное Сумма 100000-00 В т.ч. НДС (20%) 16666-67;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;1322122421    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;"ООО ""ТЕПЛОРЕСУРС""";;;;;;;;;;;;;;;7 (84677) 9-25-38, +7 (84677) 9-25-83, +7 (83451) 2-35-02;;;;;;;;;;;;;https://www.rusprofile.ru/id/1201300004531?utm_source=tender-win.ru;yusupov.r@bk.ru, ysupov.r@bk.ru;;;;;;;;;;;;;;;;;;;;Оплата по счету 130113612 от 18.11.2022 за пластины проточные GX-051-H-0.5 (20%) Сумма 264102-00 В т.ч. НДС (20%) 44017-00;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;1324003589    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;"АО ""РУЗХИММАШ""";;;;;;;;;;;;;;;7 (83451) 9-65-83, +7 (8342) 38-07-38, +7 (83451) 6-53-06;;;;;;;;;;;;;https://www.rusprofile.ru/id/131123?utm_source=tender-win.ru;ruzhim@rzhm.rmrail.ru, uk@rmrail.ru, ruzhim@ruzhim.ru;;;;;;;;;;;;;;;;;;;;оплата за теплообменный аппарат по Договор поставки N 7.4/49 от 14.07.2022 Сумма 425100-00 В т.ч. НДС(20%) 70850-00;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;1324015626    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;"ПАО ""ЭЛЕКТРОВЫПРЯМИТЕЛЬ""";;;;;;;;;;;;;;;7 (8342) 24-23-96, +7 (8342) 47-18-31, +7 (3822) 47-55-22;;;;;;;;;;;;;https://www.rusprofile.ru/id/1321244?utm_source=tender-win.ru;info@elvpr.ru, spp@elvpr.ru, sales@elvpr.ru;;;;;;;;;;;;;;;;;;;;За ТМЦ по сч.-дог.№3746 от 28.03.2023. В т.ч. НДС 14359.20 руб.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;1325013893    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;АО Биохимик;;;;;;;;;;;;;;;7 (8342) 24-72-49, +7 (8342) 24-21-27, +7 (8342) 47-36-78;;;;;;;;;;;;;https://www.rusprofile.ru/id/3574244?utm_source=tender-win.ru;biohim@moris.ru, BIO_KADRI@mail.ru;;;;;;;;;;;;;;;;;;;;Оплата по сч. № 17196/RUB за прокладку S21A, S12SBG, уплотнение S100 по Договору № 17196 от 05.04.2022 Сумма 575122-50 В т.ч. НДС (20%) 95853-75 руб.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;1325030352    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
